,Type,Gender,Officer-defined ethnicity,Object-of-search,Outcome,Outcome-linked-to-object-of-search,years,Age-min,Age-max
467,0,1,0,3,14,1,1,1,1
468,1,1,3,1,13,1,1,2,2
469,0,1,0,3,13,1,1,1,1
470,1,1,1,3,7,0,1,1,1
471,0,1,0,3,7,0,1,1,1
472,0,1,0,3,7,0,1,1,1
473,1,1,3,1,7,0,1,2,2
474,1,0,1,10,13,1,1,1,1
475,1,0,1,10,13,1,1,2,2
476,1,0,1,10,13,1,1,1,1
477,1,0,1,3,13,1,1,1,1
478,1,0,3,1,13,1,1,2,2
479,1,1,3,1,13,1,1,2,2
480,1,1,3,10,13,1,1,0,0
481,1,1,3,1,7,0,1,2,2
482,1,1,3,10,13,1,1,1,1
483,1,1,3,10,6,1,1,1,1
484,1,1,1,10,7,0,1,0,0
485,0,0,3,1,7,0,1,2,2
486,1,1,3,8,7,0,1,0,0
487,1,1,3,10,13,0,1,0,0
488,0,1,3,1,7,0,1,1,1
489,0,1,3,1,7,0,1,2,2
490,0,1,0,0,14,1,1,1,1
491,0,1,0,0,7,0,1,1,1
492,0,0,0,0,7,0,1,1,1
493,0,0,0,0,7,0,1,1,1
494,1,1,3,10,6,1,1,2,2
495,0,1,1,3,7,0,1,2,2
496,0,1,3,3,13,1,1,2,2
498,1,1,3,1,7,0,1,2,2
502,1,1,0,3,7,0,1,1,1
503,0,1,0,3,7,0,1,1,1
504,0,1,0,3,7,0,1,1,1
505,1,1,3,10,7,0,1,1,1
506,0,1,3,1,13,0,1,1,1
507,1,1,3,3,14,1,1,1,1
508,1,1,3,3,7,0,1,1,1
509,0,1,3,10,7,0,1,1,1
510,1,1,3,3,9,1,1,2,2
511,1,1,3,1,7,0,1,2,2
512,1,1,3,3,13,1,1,0,0
513,1,1,3,3,13,1,1,2,2
514,1,1,3,8,7,0,1,1,1
515,1,1,1,8,7,0,1,2,2
517,0,1,1,8,7,0,1,2,2
518,0,1,1,3,9,1,1,2,2
519,1,1,3,1,7,0,1,1,1
520,0,1,1,3,7,0,1,1,1
521,0,1,1,3,7,0,1,1,1
522,0,0,3,3,7,0,1,1,1
523,1,1,3,10,7,0,1,2,2
524,1,1,0,10,7,0,1,2,2
525,1,1,1,10,13,1,1,0,0
526,1,1,3,3,7,0,1,2,2
527,1,1,3,3,13,1,1,2,2
528,0,1,1,3,7,0,1,1,1
529,0,1,1,3,13,0,1,2,2
530,0,1,1,3,7,0,1,1,1
531,0,1,3,3,13,1,1,2,2
532,0,1,3,3,13,1,1,2,2
533,0,1,1,3,13,0,1,1,1
534,1,1,3,1,7,0,1,0,0
535,1,1,3,1,7,0,1,2,2
536,0,1,0,3,7,0,1,2,2
537,1,1,3,10,7,0,1,0,0
538,1,0,3,1,13,0,1,0,0
539,0,1,3,3,13,1,1,1,1
540,1,1,3,3,13,1,1,2,2
541,1,1,3,3,13,0,1,2,2
542,0,1,0,3,7,0,1,1,1
543,1,1,2,3,7,0,1,1,1
544,1,1,0,8,13,1,1,1,1
545,1,1,1,8,13,0,1,2,2
546,1,1,3,8,13,1,1,1,1
547,1,1,3,3,13,1,1,2,2
548,1,1,3,10,13,1,1,2,2
549,0,1,0,3,7,0,1,1,1
550,0,1,0,3,9,1,1,1,1
551,0,1,0,3,13,1,1,1,1
552,1,1,3,10,13,1,1,1,1
553,0,1,0,3,7,0,1,2,2
554,0,1,0,3,10,0,1,2,2
555,0,1,0,3,7,0,1,1,1
556,0,1,0,3,7,0,1,2,2
557,0,1,0,3,7,0,1,2,2
558,0,1,0,3,7,0,1,1,1
560,1,1,1,1,6,1,1,0,0
561,0,1,3,3,14,1,1,0,0
562,1,1,3,10,10,1,1,2,2
563,1,1,3,1,7,0,1,1,1
564,1,1,3,1,7,0,1,1,1
565,0,1,0,3,7,0,1,1,1
566,1,0,3,3,7,0,1,2,2
567,1,1,3,3,7,0,1,0,0
568,0,1,1,1,13,1,1,1,1
569,0,1,3,1,13,1,1,1,1
570,1,1,0,1,7,0,1,2,2
571,0,1,3,3,13,1,1,2,2
572,0,1,0,3,7,0,1,1,1
573,0,1,0,3,7,0,1,2,2
574,0,1,0,3,7,0,1,1,1
575,0,1,3,3,13,1,1,1,1
576,1,0,3,1,13,1,1,0,0
577,1,1,0,1,13,1,1,2,2
578,0,1,3,3,13,0,1,2,2
579,0,1,1,6,7,0,1,0,0
580,0,1,3,6,7,0,1,0,0
581,1,1,3,3,9,1,1,1,1
585,1,1,3,10,13,0,1,0,0
586,1,1,3,10,13,0,1,2,2
587,0,1,3,3,7,0,1,2,2
588,0,1,0,3,14,1,1,1,1
589,0,1,0,3,7,0,1,1,1
590,1,1,0,1,7,0,1,1,1
591,1,0,3,1,7,0,1,2,2
592,1,1,3,1,7,0,1,0,0
593,1,1,3,1,7,0,1,0,0
594,1,1,3,10,7,0,1,2,2
595,0,1,0,3,7,0,1,2,2
596,0,1,0,3,7,0,1,1,1
597,1,1,3,1,7,0,1,1,1
598,1,1,1,1,7,0,1,0,0
599,1,1,3,10,7,0,1,0,0
600,1,1,3,3,7,0,1,1,1
601,1,1,3,1,7,0,1,2,2
603,0,1,3,3,13,1,1,1,1
604,1,1,1,3,7,0,1,1,1
605,1,1,3,3,13,0,1,1,1
606,0,1,1,8,7,0,1,0,0
607,0,1,1,8,7,0,1,2,2
608,1,1,0,1,13,1,1,2,2
609,1,1,3,10,7,0,1,1,1
610,1,1,3,3,7,0,1,2,2
611,1,0,3,10,13,0,1,2,2
612,0,1,3,3,7,0,1,2,2
613,1,1,3,6,7,0,1,0,0
614,1,1,3,3,13,0,1,0,0
615,0,1,0,3,7,0,1,1,1
616,0,1,0,3,7,0,1,2,2
617,1,1,0,3,9,1,1,2,2
618,0,1,3,3,13,1,1,1,1
619,1,1,3,1,7,0,1,1,1
620,1,1,3,1,7,0,1,2,2
621,0,1,3,3,10,0,1,1,1
622,0,1,3,3,14,1,1,1,1
624,0,1,0,3,13,1,1,1,1
625,0,1,1,3,7,0,1,0,0
626,0,1,0,3,7,0,1,1,1
627,0,1,0,3,7,0,1,1,1
628,0,1,3,3,10,1,1,1,1
629,0,1,3,3,10,1,1,2,2
630,0,1,3,3,7,0,1,1,1
631,0,1,3,3,7,0,1,1,1
633,0,1,0,3,9,1,1,2,2
634,0,1,3,3,7,0,1,1,1
635,0,1,0,3,7,0,1,2,2
636,1,1,3,1,13,0,1,2,2
637,0,1,1,3,10,0,1,1,1
638,0,0,1,3,7,0,1,1,1
639,1,1,3,1,7,0,1,2,2
642,1,1,3,10,7,0,1,0,0
643,0,1,3,3,14,1,1,2,2
644,1,1,3,10,6,1,1,1,1
646,0,1,3,3,13,1,1,2,2
647,0,1,3,3,7,0,1,2,2
649,1,1,1,3,7,0,1,0,0
650,1,1,1,3,7,0,1,0,0
651,1,1,0,1,7,0,1,0,0
652,1,1,0,3,7,0,1,1,1
653,0,1,0,3,7,0,1,1,1
654,1,1,0,3,7,0,1,1,1
655,1,1,1,3,7,0,1,1,1
656,1,1,1,3,7,0,1,1,1
658,1,1,3,10,6,0,1,0,0
659,1,1,3,10,6,0,1,1,1
660,0,1,1,3,7,0,1,1,1
665,1,1,2,10,14,0,1,1,1
666,1,1,1,10,7,0,1,1,1
