,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
380,2,6,1,1,1,2,9,2,3,2,6
381,2,4,2,1,2,2,9,1,3,1,21
382,2,3,2,1,2,2,2,1,3,2,26
383,2,3,1,1,1,1,9,2,3,2,25
384,2,3,1,7,1,2,9,1,3,2,53
385,3,6,2,1,5,1,5,1,2,1,21
386,1,6,2,1,4,1,11,3,3,1,28
387,2,6,2,1,4,1,9,1,3,2,19
388,2,6,2,1,4,2,19,1,3,1,36
389,2,1,2,1,4,2,9,1,3,1,69
390,3,3,1,1,1,3,9,1,3,1,25
391,1,3,1,4,1,1,9,1,3,1,24
392,3,1,2,4,5,2,19,1,3,1,52
393,2,6,1,1,1,2,9,1,3,1,51
394,2,1,1,1,1,2,9,1,3,1,34
395,2,6,1,1,4,2,1,1,3,1,21
396,3,3,1,1,4,2,9,1,3,1,51
397,2,6,2,1,1,2,1,1,3,2,26
398,2,3,1,1,1,2,9,2,3,1,24
399,1,6,1,1,1,1,19,3,3,2,54
400,1,6,1,1,4,1,9,3,3,2,12
401,2,3,2,1,4,1,9,2,3,1,8
402,2,5,2,1,5,1,9,2,3,1,28
403,1,6,1,1,1,1,8,3,3,2,26
404,2,6,2,1,5,2,9,1,3,2,37
405,2,6,1,7,1,2,8,2,3,1,50
406,2,6,1,1,1,1,9,1,3,2,29
407,2,3,1,1,1,2,1,1,3,2,34
408,2,6,1,1,1,2,1,1,3,1,36
409,2,1,1,1,1,1,9,1,3,1,62
410,3,1,1,1,1,2,9,1,3,1,24
411,2,6,1,1,1,2,1,1,2,1,35
412,1,6,1,1,1,1,9,3,3,1,10
413,2,6,1,1,1,2,9,1,3,1,36
414,2,6,1,1,1,2,9,2,3,2,12
415,2,6,1,1,1,2,9,2,3,2,9
416,2,6,1,1,1,2,9,2,3,2,7
417,2,4,1,1,1,2,9,2,3,2,45
418,1,3,1,1,1,1,9,2,2,1,89
419,1,3,1,1,1,1,9,1,3,1,61
420,1,2,1,1,1,1,9,1,2,2,20
421,1,2,1,1,1,1,9,2,2,1,20
422,2,6,1,1,1,1,1,1,3,1,14
423,2,3,1,1,1,2,1,1,3,1,30
424,2,3,1,1,1,1,9,1,3,2,62
425,2,3,1,1,1,1,9,2,3,1,95
426,1,3,1,1,1,1,9,3,2,2,23
427,2,3,1,4,1,1,9,1,2,1,24
428,2,3,1,4,1,1,9,2,2,1,50
429,2,3,1,4,1,2,9,1,3,1,37
430,2,3,1,1,1,2,3,1,1,1,68
431,2,4,1,1,1,2,9,1,3,2,29
432,2,6,1,1,1,2,1,1,3,1,58
433,1,4,1,5,1,1,3,1,1,1,22
434,2,1,1,1,1,2,11,2,2,2,53
435,2,6,1,1,1,2,9,1,3,2,28
436,2,6,1,1,1,2,9,2,3,2,31
437,2,6,1,1,1,2,9,2,3,2,18
438,2,6,1,1,1,2,9,2,3,2,7
439,2,6,1,1,1,2,9,2,3,2,2
440,2,3,1,4,1,2,9,2,3,2,70
441,2,6,1,1,1,2,19,1,3,1,20
442,2,6,1,1,1,2,9,1,3,1,28
443,2,6,1,1,1,2,9,2,3,1,8
444,2,6,1,1,1,1,1,1,3,1,19
445,1,6,1,1,1,1,97,3,3,2,5
446,2,6,1,1,1,2,3,1,2,1,18
447,1,6,1,4,1,1,5,1,2,1,36
448,2,6,1,4,1,2,9,1,3,1,45
449,5,3,1,4,1,2,9,1,3,1,40
450,5,3,1,4,1,4,9,1,3,1,23
451,1,1,1,1,1,1,21,3,3,2,18
452,1,6,1,1,1,1,9,3,3,2,2
453,2,6,1,4,1,1,9,1,3,1,41
454,2,6,1,4,1,1,9,2,3,1,38
455,2,6,1,4,1,2,19,1,3,1,57
456,3,6,1,1,1,1,9,1,3,1,73
457,1,3,1,1,1,1,9,3,2,2,24
458,1,6,1,4,1,1,3,3,2,1,18
459,2,3,1,4,1,2,9,1,3,2,22
460,2,6,1,1,1,1,9,2,3,2,57
461,2,6,1,1,1,2,8,1,3,1,41
462,2,6,1,1,1,1,9,1,3,2,36
463,2,3,1,1,1,2,1,1,3,1,57
464,3,3,1,1,1,2,9,1,3,1,57
465,1,3,1,1,1,1,11,2,3,2,67
466,2,3,1,1,1,2,1,1,3,1,69
467,1,6,1,1,1,1,9,3,3,2,24
468,2,3,1,1,1,2,9,1,3,2,64
469,2,6,1,1,1,2,1,2,2,1,56
470,2,6,1,1,1,2,1,1,3,1,28
471,2,6,1,1,1,1,9,2,3,1,12
472,3,3,1,1,1,1,9,1,3,1,31
473,3,3,1,1,1,1,9,2,3,1,23
474,3,3,1,1,1,1,9,2,2,2,19
475,2,6,1,1,1,2,9,1,3,1,22
476,2,6,1,1,1,1,9,3,3,1,15
477,2,6,1,1,1,1,9,3,3,1,16
478,2,6,1,1,1,2,4,1,2,1,27
479,2,6,1,1,1,2,5,1,3,1,37
